Community_ID,House_ID,%_farming_households,Energy_role,Biomass_category,Biomass_subtype,Conversion_tech,Biomass_energy_type,Biomass_qty_tpd,Calorific_value_MJkg,Moisture_content_%,Energy_generated_kWh,Total_demand_kWh,Conversion_efficiency_%,Conversion_losses_%,Storage_capacity_kWh,Current_storage_kWh,Distribution_losses_%,Residential_demand_kWh,Agri_industrial_demand_kWh,Peak_load_kWh,Avg_temp_C,Rainfall_mm,Humidity_%,Community_participation_%
Comm_5,House_15,68.25,Prosumer,Food waste,Market waste,Gasification,Biogas,2.61,10.7,35.64,270.14,352.22,56.06,8.01,45.66,117.2,1.7,37.86,14.9,78.15,32.7,137.4,73.1,75.85
Comm_6,House_25,50.2,Producer,Agriculture,Wheat straw,Gasification,Heat,1.5,15.29,5.2,452.64,149.94,89.8,10.9,188.0,9.45,9.52,123.37,63.22,22.73,23.3,117.9,77.9,71.7
Comm_2,House_48,60.64,Prosumer,Wood,Firewood,Combustion,Electricity,4.55,11.11,30.0,215.97,167.8,76.0,2.45,142.75,104.3,1.22,156.94,67.02,99.8,32.7,99.64,32.6,57.67
Comm_9,House_1,50.2,Producer,Food waste,Market waste,Fermentation,Biodiesel,2.65,17.23,22.71,435.64,251.08,85.49,7.84,24.61,36.58,1.34,36.66,53.7,107.01,16.1,198.6,84.4,70.51
Comm_4,House_49,42.37,Consumer,None,None,None,Syngas,0.0,0.0,0.0,0.0,227.15,0.0,0.0,0.0,0.0,3.66,133.75,49.54,139.63,36.6,109.9,36.2,98.38
Comm_1,House_21,64.77,Producer,Wood,Sawdust,Fermentation,Electricity,3.32,19.71,23.9,592.11,251.08,62.46,6.0,105.16,76.0,9.55,117.15,20.6,138.32,15.2,84.6,60.26,70.51
Comm_4,House_36,20.79,Consumer,None,None,None,Bioethanol,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,3.92,130.2,63.22,78.15,14.9,153.4,87.4,99.9
Comm_9,House_50,50.53,Producer,Wood,Wood pellets,Gasification,Bioethanol,4.88,16.66,26.46,404.95,251.08,94.25,1.01,145.84,26.18,3.86,26.06,10.15,97.19,24.8,121.3,60.26,75.25
Comm_7,House_1,55.07,Producer,Food waste,Market waste,Combustion,Pellets,2.17,15.11,12.82,215.97,95.6,82.31,12.3,90.89,53.8,6.09,69.7,63.22,49.17,24.8,106.9,65.8,64.08
Comm_6,House_13,42.91,Prosumer,Manure,Cow dung,Fermentation,Electricity,2.05,17.02,28.65,215.97,376.15,79.6,2.15,158.95,20.3,2.0,272.59,49.4,83.0,18.7,126.3,69.8,91.6
Comm_5,House_6,62.7,Consumer,None,None,None,Electricity,0.0,0.0,0.0,0.0,427.08,0.0,0.0,0.0,0.0,8.6,336.2,173.05,54.63,17.2,164.8,75.9,70.51
Comm_3,House_12,70.9,Producer,Food waste,Market waste,Gasification,Syngas,4.9,16.2,13.73,493.91,73.57,72.75,8.01,49.77,73.53,5.74,67.0,19.56,58.74,31.6,90.8,80.1,60.49
Comm_6,House_11,26.4,Prosumer,Energy crops,Jatropha,Fermentation,Heat,0.89,18.7,24.97,95.91,195.0,58.68,11.22,90.4,52.62,4.1,68.3,63.22,84.81,24.8,102.3,54.8,70.51
Comm_2,House_40,43.6,Producer,MSW,Mixed organic,Transesterification,Bioethanol,4.2,14.2,32.09,439.12,231.44,57.7,8.01,127.57,51.77,5.41,187.06,37.95,78.15,37.1,99.64,63.4,84.05
Comm_1,House_48,64.3,Producer,Energy crops,Switchgrass,Pelletization,Syngas,0.93,18.4,16.1,215.97,128.0,82.65,4.61,94.98,6.51,8.83,130.2,63.22,50.5,19.5,111.5,72.4,88.84
Comm_8,House_6,21.44,Prosumer,MSW,Mixed organic,Transesterification,Bioethanol,2.64,11.95,35.58,215.97,223.59,75.23,8.01,20.19,132.52,6.43,130.2,63.22,121.31,16.8,18.8,42.7,42.09
Comm_4,House_10,50.2,Consumer,None,None,None,Pellets,0.0,0.0,0.0,0.0,214.6,0.0,0.0,0.0,0.0,5.41,41.53,82.39,17.13,23.6,127.0,60.26,70.51
Comm_8,House_39,54.37,Prosumer,Agriculture,Sugarcane bagasse,Pelletization,Syngas,3.9,11.01,30.37,161.2,317.2,72.75,8.01,99.2,107.55,7.04,273.58,89.84,54.57,23.7,185.3,60.26,52.3
Comm_10,House_48,59.1,Prosumer,Manure,Poultry litter,Pelletization,Biogas,4.5,19.56,14.1,256.3,368.2,62.8,2.8,134.81,6.92,7.84,256.79,117.53,144.1,30.3,6.4,51.0,72.19
Comm_10,House_41,51.0,Producer,Manure,Poultry litter,Pelletization,Pellets,2.1,15.11,22.71,308.1,215.2,56.81,5.8,46.93,73.53,5.42,80.82,18.1,73.8,16.9,84.2,80.0,74.54
Comm_9,House_13,48.1,Consumer,None,None,None,Heat,0.0,0.0,0.0,0.0,462.4,0.0,0.0,0.0,0.0,2.95,130.2,174.4,78.15,16.8,41.2,60.26,92.33
Comm_4,House_50,50.2,Prosumer,Agriculture,Sugarcane bagasse,Transesterification,Syngas,2.1,10.26,24.3,250.2,340.71,72.75,8.15,20.6,18.17,3.17,130.2,139.8,78.15,24.8,177.2,73.8,89.52
Comm_5,House_38,50.2,Prosumer,MSW,Organic fraction,Gasification,Electricity,3.64,15.93,13.6,186.5,251.08,63.03,5.6,105.16,73.53,7.77,130.2,79.47,78.15,24.8,99.64,48.7,78.66
Comm_6,House_44,63.4,Prosumer,Food waste,Market waste,Digestion,Bioethanol,0.36,16.0,22.71,119.46,212.44,79.3,2.9,105.16,44.24,5.41,93.7,98.3,117.6,35.2,1.6,70.3,50.68
Comm_5,House_49,47.55,Consumer,None,None,None,Electricity,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,3.58,130.2,49.5,23.8,30.2,99.64,53.9,84.93
Comm_3,House_30,76.04,Producer,Food waste,Kitchen scraps,Combustion,Electricity,2.9,15.68,15.77,346.16,77.1,72.75,12.85,168.14,100.14,5.62,56.94,20.3,46.87,37.8,99.64,31.3,40.66
Comm_7,House_47,50.2,Producer,Agriculture,Maize stalks,Gasification,Syngas,4.58,15.11,13.05,492.28,161.8,52.08,6.75,165.43,110.39,8.27,116.0,51.8,98.85,24.8,22.7,67.9,59.5
Comm_5,House_22,50.2,Prosumer,Energy crops,Jatropha,Digestion,Heat,2.65,15.11,35.87,202.71,397.6,91.4,4.9,69.01,71.29,5.41,72.9,125.8,78.15,12.1,76.8,43.1,71.48
Comm_8,House_2,69.58,Consumer,None,None,None,Biogas,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,9.0,44.94,28.73,134.02,21.7,99.64,46.3,70.51
Comm_1,House_26,50.2,Prosumer,Energy crops,Switchgrass,Transesterification,Syngas,2.65,12.55,23.55,245.31,353.31,74.79,11.8,18.99,109.26,7.6,130.2,63.22,72.4,15.4,142.8,60.26,95.54
Comm_5,House_18,37.59,Consumer,None,None,None,Electricity,0.0,0.0,0.0,0.0,344.03,0.0,0.0,0.0,0.0,1.77,202.5,33.81,19.54,38.6,24.6,52.4,70.51
Comm_8,House_7,75.56,Producer,Food waste,Kitchen scraps,Fermentation,Pellets,1.61,11.91,7.92,564.82,251.08,50.5,9.4,44.62,73.53,6.11,179.0,41.23,55.94,24.1,99.64,81.5,88.51
Comm_5,House_29,44.48,Consumer,None,None,None,Biogas,0.0,0.0,0.0,0.0,101.47,0.0,0.0,0.0,0.0,1.69,72.35,24.0,78.15,20.6,61.8,75.1,41.41
Comm_4,House_5,50.2,Producer,Food waste,Kitchen scraps,Gasification,Biodiesel,3.78,11.5,6.8,215.97,242.59,85.2,12.1,123.63,141.37,5.17,167.54,24.3,47.81,21.3,99.64,66.5,90.06
Comm_10,House_12,22.25,Prosumer,Food waste,Market waste,Transesterification,Biogas,2.65,17.59,23.83,274.47,251.08,65.64,8.01,24.21,105.9,2.82,313.4,81.99,144.68,24.8,41.7,88.5,70.51
Comm_5,House_10,57.83,Producer,Energy crops,Switchgrass,Pelletization,Pellets,3.65,15.11,35.5,456.38,165.4,87.7,6.4,105.16,69.71,2.0,139.04,63.22,78.15,19.0,125.3,73.2,47.93
Comm_7,House_7,33.4,Consumer,None,None,None,Biodiesel,0.0,0.0,0.0,0.0,393.26,0.0,0.0,0.0,0.0,8.03,45.0,56.3,78.15,24.8,99.64,60.26,61.16
Comm_10,House_28,25.1,Prosumer,Food waste,Kitchen scraps,Fermentation,Heat,0.8,15.11,6.2,214.48,251.08,59.47,7.5,90.23,73.53,5.41,315.59,69.32,126.43,39.4,90.3,60.26,89.62
Comm_9,House_39,50.2,Producer,Energy crops,Jatropha,Transesterification,Bioethanol,0.3,15.04,32.1,564.96,200.6,72.75,10.23,105.16,114.83,9.59,73.38,35.04,76.88,16.6,150.6,60.26,90.3
Comm_6,House_41,58.6,Consumer,None,None,None,Biogas,0.0,0.0,0.0,0.0,414.71,0.0,0.0,0.0,0.0,5.41,300.6,176.87,65.92,39.9,68.5,34.6,87.7
Comm_8,House_20,31.55,Producer,Energy crops,Jatropha,Combustion,Biogas,4.88,15.11,27.81,215.97,218.19,82.51,9.71,128.13,121.6,4.75,45.24,15.17,80.55,24.8,54.8,70.9,80.8
Comm_9,House_18,32.17,Prosumer,MSW,Organic fraction,Transesterification,Biodiesel,4.02,19.1,21.47,179.66,251.08,75.51,13.3,76.35,73.53,8.39,338.91,23.27,112.8,14.1,99.64,62.9,90.32
Comm_9,House_11,67.01,Prosumer,Wood,Wood pellets,Fermentation,Syngas,4.9,15.1,18.66,215.97,251.08,64.3,4.9,44.27,94.9,2.2,22.98,57.1,55.78,27.7,73.9,86.7,52.45
Comm_3,House_1,50.2,Consumer,None,None,None,Biogas,0.0,0.0,0.0,0.0,346.5,0.0,0.0,0.0,0.0,3.3,309.6,166.0,129.95,24.8,161.2,60.26,94.39
Comm_7,House_11,45.68,Consumer,None,None,None,Bioethanol,0.0,0.0,0.0,0.0,496.94,0.0,0.0,0.0,0.0,1.74,259.23,18.76,119.2,27.6,99.64,51.1,56.17
Comm_9,House_43,50.2,Consumer,None,None,None,Pellets,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,2.69,88.9,47.4,138.86,39.7,132.9,60.26,70.51
Comm_2,House_24,49.92,Producer,Food waste,Market waste,Digestion,Pellets,1.59,10.5,23.7,351.71,251.08,83.23,3.4,164.46,73.53,5.41,151.83,63.22,136.4,18.0,141.6,60.8,42.15
Comm_8,House_34,70.04,Producer,Food waste,Kitchen scraps,Combustion,Pellets,1.69,10.16,19.7,535.99,167.15,61.48,10.69,103.85,79.35,5.41,11.52,50.99,78.15,11.0,79.5,60.26,69.69
Comm_2,House_23,33.58,Producer,MSW,Organic fraction,Pelletization,Heat,0.6,10.14,22.71,215.97,108.05,76.77,3.06,110.17,106.81,5.41,53.65,8.04,78.15,24.8,99.64,70.6,93.73
Comm_2,House_29,53.83,Producer,Agriculture,Wheat straw,Gasification,Pellets,2.65,12.04,22.71,215.97,114.7,73.84,4.4,28.14,136.84,3.08,43.09,22.26,78.15,35.3,174.1,84.2,59.62
Comm_1,House_6,40.0,Prosumer,Wood,Sawdust,Combustion,Pellets,2.65,13.58,6.76,260.17,402.29,71.14,11.3,194.1,131.12,8.79,113.96,70.48,49.86,36.8,3.9,79.9,48.13
Comm_7,House_36,66.17,Producer,Agriculture,Wheat straw,Digestion,Electricity,4.98,10.53,22.71,452.05,57.53,65.83,8.01,20.03,73.53,9.55,31.97,26.2,76.09,13.2,33.3,35.1,91.64
Comm_7,House_32,45.8,Prosumer,Energy crops,Switchgrass,Pelletization,Pellets,5.0,15.11,22.71,108.81,296.22,60.94,2.7,135.5,35.1,5.8,269.7,92.6,30.64,24.8,99.64,53.9,58.44
Comm_4,House_42,29.09,Prosumer,Manure,Cow dung,Gasification,Bioethanol,0.81,19.77,26.66,126.69,260.4,59.4,6.66,178.65,104.8,5.05,102.42,63.22,48.0,16.9,7.2,43.3,49.92
Comm_6,House_6,75.0,Producer,Manure,Poultry litter,Fermentation,Biodiesel,2.65,15.55,22.71,576.03,67.82,70.41,7.57,105.16,53.4,5.4,25.1,63.22,114.79,31.2,18.2,70.2,77.18
Comm_6,House_38,68.27,Prosumer,Wood,Sawdust,Fermentation,Heat,1.79,13.45,15.6,215.97,142.79,72.75,2.5,111.36,118.4,2.18,119.03,39.44,54.5,36.0,121.2,60.26,98.5
Comm_1,House_9,70.09,Producer,Agriculture,Wheat straw,Combustion,Biogas,3.53,10.6,37.32,453.1,58.8,76.76,3.23,70.72,70.62,3.7,41.82,63.22,66.67,24.8,87.8,76.1,70.51
Comm_3,House_16,74.93,Producer,Food waste,Market waste,Gasification,Syngas,1.35,19.67,15.42,583.26,74.55,72.75,11.4,174.48,73.53,5.41,72.49,63.22,127.06,16.3,29.5,65.2,62.02
Comm_1,House_35,62.24,Consumer,None,None,None,Pellets,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,9.08,130.2,46.31,38.85,24.8,99.64,54.0,49.71
Comm_2,House_19,35.65,Prosumer,Energy crops,Miscanthus,Transesterification,Bioethanol,2.65,10.1,22.71,50.62,149.54,81.03,12.32,105.16,30.42,5.41,127.2,39.1,84.98,24.8,129.2,51.9,42.7
Comm_3,House_45,50.2,Consumer,None,None,None,Biogas,0.0,0.0,0.0,0.0,499.63,0.0,0.0,0.0,0.0,7.1,458.64,178.58,78.15,10.6,53.7,66.9,42.59
Comm_7,House_36,38.04,Producer,Agriculture,Sugarcane bagasse,Fermentation,Bioethanol,1.68,15.11,28.63,316.1,141.11,63.39,11.8,26.2,50.37,2.44,94.0,9.5,41.59,24.8,62.5,60.26,70.51
Comm_2,House_32,62.52,Producer,Wood,Firewood,Fermentation,Electricity,4.3,16.92,25.0,437.45,76.02,55.0,5.9,105.16,73.53,8.95,11.99,63.22,11.65,13.9,135.2,50.4,70.51
Comm_8,House_2,56.5,Prosumer,Energy crops,Switchgrass,Digestion,Bioethanol,1.9,12.27,22.71,203.18,362.21,72.75,5.92,105.16,0.83,6.67,317.0,173.27,125.36,36.6,12.2,60.26,70.51
Comm_6,House_18,41.64,Prosumer,Food waste,Kitchen scraps,Transesterification,Biodiesel,0.46,18.32,32.82,215.97,297.5,68.6,8.01,168.87,31.35,8.26,265.17,59.74,78.15,19.4,107.0,48.0,91.48
Comm_2,House_25,73.11,Producer,MSW,Mixed organic,Fermentation,Biogas,2.65,15.64,14.6,537.39,160.28,64.19,8.01,15.1,52.78,1.45,59.71,63.22,100.62,23.4,99.64,60.26,70.51
Comm_7,House_40,68.47,Producer,Manure,Cow dung,Pelletization,Electricity,2.15,13.35,22.71,425.68,248.6,90.47,9.49,64.36,119.51,1.02,100.9,53.2,78.15,24.8,18.4,62.3,81.49
Comm_1,House_27,50.2,Consumer,None,None,None,Syngas,0.0,0.0,0.0,0.0,159.03,0.0,0.0,0.0,0.0,8.31,41.96,70.3,78.15,16.8,99.64,60.26,44.66
Comm_5,House_33,57.12,Producer,Agriculture,Rice husk,Gasification,Syngas,2.36,13.4,21.22,215.97,203.34,69.43,1.2,80.4,99.3,5.41,168.1,63.22,39.53,28.4,99.64,89.5,70.51
Comm_9,House_39,33.4,Consumer,None,None,None,Biodiesel,0.0,0.0,0.0,0.0,225.23,0.0,0.0,0.0,0.0,7.42,130.2,103.12,78.15,27.5,99.64,33.5,70.51
Comm_10,House_17,34.95,Consumer,None,None,None,Syngas,0.0,0.0,0.0,0.0,278.31,0.0,0.0,0.0,0.0,7.58,254.37,55.47,123.0,31.0,62.0,51.4,98.73
Comm_3,House_8,61.94,Prosumer,MSW,Mixed organic,Gasification,Syngas,0.7,17.71,35.37,215.97,258.9,72.75,11.21,102.5,76.6,9.71,185.2,110.72,119.59,35.6,99.64,60.26,71.5
Comm_5,House_26,54.65,Producer,Energy crops,Jatropha,Combustion,Biogas,2.65,14.16,15.0,392.6,177.78,91.84,1.6,137.51,73.53,5.57,65.69,53.4,121.79,18.2,69.3,58.2,91.66
Comm_2,House_34,72.97,Prosumer,Agriculture,Wheat straw,Pelletization,Syngas,4.89,15.11,23.72,197.4,276.66,72.75,13.91,127.02,73.53,4.72,130.2,52.0,148.68,30.4,68.3,86.9,55.17
Comm_10,House_18,41.81,Consumer,None,None,None,Biodiesel,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,8.5,101.92,58.0,25.2,24.2,99.64,87.3,84.33
Comm_2,House_11,31.12,Producer,Agriculture,Wheat straw,Digestion,Biodiesel,2.65,18.4,27.8,215.97,56.78,79.18,9.6,143.1,73.53,5.41,44.0,25.9,114.27,17.5,99.64,81.5,60.2
Comm_1,House_42,45.2,Prosumer,MSW,Organic fraction,Fermentation,Heat,1.1,15.11,37.34,171.04,251.08,57.2,14.85,53.0,147.37,9.28,30.58,145.33,78.15,22.7,20.9,60.26,83.22
Comm_6,House_37,29.66,Consumer,None,None,None,Pellets,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,5.12,130.2,36.4,95.13,24.8,87.1,87.8,87.22
Comm_10,House_3,65.8,Consumer,None,None,None,Heat,0.0,0.0,0.0,0.0,251.08,0.0,0.0,0.0,0.0,9.63,130.2,63.22,60.88,24.8,197.9,33.7,81.79
Comm_9,House_40,50.2,Consumer,None,None,None,Heat,0.0,0.0,0.0,0.0,228.42,0.0,0.0,0.0,0.0,5.41,158.82,43.61,116.2,24.8,117.0,60.26,88.62
Comm_9,House_4,20.0,Prosumer,Agriculture,Wheat straw,Digestion,Pellets,3.1,16.51,28.41,215.97,192.03,53.41,5.27,43.36,73.53,5.41,36.3,42.86,52.27,24.8,99.64,33.9,70.51
Comm_8,House_10,53.6,Producer,MSW,Mixed organic,Digestion,Biogas,2.7,10.7,6.68,419.81,110.9,85.61,8.0,105.16,137.7,4.05,61.96,25.03,78.15,23.8,171.7,76.1,70.51
Comm_9,House_24,20.44,Consumer,None,None,None,Pellets,0.0,0.0,0.0,0.0,189.13,0.0,0.0,0.0,0.0,3.27,155.9,10.29,76.13,12.4,19.6,32.4,70.51
Comm_1,House_33,60.33,Producer,Wood,Sawdust,Transesterification,Bioethanol,2.65,13.06,33.08,331.84,251.08,87.1,10.57,15.19,73.53,4.9,130.2,114.01,37.8,27.8,99.64,51.0,70.51
Comm_2,House_22,42.9,Producer,Food waste,Kitchen scraps,Digestion,Biodiesel,3.82,16.44,7.34,408.8,157.37,64.27,14.88,160.71,73.53,7.52,130.2,66.97,78.15,26.5,192.6,30.8,51.37
Comm_10,House_43,50.2,Producer,Wood,Wood pellets,Digestion,Electricity,3.32,10.18,22.71,431.23,251.08,62.18,10.37,113.89,19.3,7.79,159.0,78.75,14.42,11.5,99.64,59.7,70.43
